欠陥ID,タイトル,状態,重要度,優先度,発見日,発見者,検出環境,検出ビルド,関連テストケースNo,証跡,詳細リンク,備考
DEFECT-001,依頼者が他人チケット詳細を参照できる,検証済,Critical,High,2026-01-13,仁後慎太郎,Win11/Chrome,app-defect-idor,TC-002;TC-003,TR-0001.png; TR-0002.png,defects/reports/DEFECT-001.md,意図的欠陥再現（IDOR=ON）
DEFECT-002,本文(body)の最大長制約が実装でenforceされていない,検証済,High,High,2026-05-10,仁後慎太郎,Win11/Chrome,app-v0.4-pre,TC-046,evidence/auto/test_body_exceeding_max_length_is_rejected[chromium]/body_validation_error.png,defects/reports/DEFECT-002.md,自動化（Auto-03）昇格時に発見。TextFieldがmax_lengthをvalidator化しない仕様に起因
DEFECT-003,期限変更で過去日入力時に500エラー（full_cleanの例外が未処理）,検証済,Medium,Medium,2026-06-13,仁後慎太郎,Win11/Chrome,app-v0.5-pre,TC-036;Auto-05;API-C2,evidence/auto/test_past_due_date_is_rejected_gracefully[chromium]/due_past_error.png,defects/reports/DEFECT-003.md,runn API層の期待値設計（過去日→400）が炙り出したHTML側の不具合。full_cleanがtry/except外（create側は囲み済）に起因
